ZIP,Diesel,Electric,Flex_Fuel,Gasoline,Gasoline_Hybrid,Hydrogen,Natural_Gas,PHEV,Propane,Total_Cars,Total_EV,EV_perc,Median_Household_Income,Latino_perc,White_perc,Asian_perc,Black_perc,BachOrHigher_perc,Total_Population,Zillow_Home_Value_Index
93905,571,93,2585,43824,744,0,2,61,0,47880,154,0.32,63694,93.4,2.7,2.6,0.6,6.2,63949,575002.18
92257,40,3,77,1409,26,0,0,2,0,1557,5,0.32,11214,36.2,30.2,0.2,17.9,4.4,1018,NA
96032,348,3,109,1996,31,0,0,5,0,2492,8,0.32,54362,5.5,72.3,0.2,0.7,14.4,2618,274275.6
93703,157,25,1208,19458,353,0,0,43,0,21244,68,0.32,35526,63.1,15.2,12,7.3,8.4,32329,268588.84
96143,121,8,118,2552,31,0,0,1,0,2831,9,0.32,54338,40.4,57.5,1.3,0,28.7,3480,753620.92
95311,224,1,130,2116,45,0,0,7,0,2523,8,0.32,49279,16.8,76.7,0.4,0,18.9,1991,283749.04
92411,143,33,809,17159,253,0,8,25,0,18430,58,0.32,52281,80.4,4.3,1.4,11.8,7.7,26895,385618.67
93249,18,0,167,1701,20,0,0,6,0,1912,6,0.31,38077,97.3,2.7,0,0,1.8,2002,245492.12
93239,9,0,79,859,7,0,0,3,0,957,3,0.31,41568,98.9,1.1,0,0,2,1273,172982.61
93307,1138,70,3601,51193,714,1,9,105,0,56831,176,0.31,46552,79.6,9.9,2.2,6.7,6.7,87133,275772.99
92230,48,7,375,2012,153,0,0,1,0,2596,8,0.31,66337,42,39.4,1.8,0.1,8.3,2357,293930.99
93640,111,7,581,8956,107,0,0,23,0,9785,30,0.31,37779,93.7,4.2,0.3,1.5,3.7,13884,277903.19
93272,174,3,294,2452,12,0,0,6,0,2941,9,0.31,41528,87.8,11.8,0,0.2,5.4,4598,230671.48
95333,160,6,173,1934,23,0,0,1,0,2297,7,0.31,54500,76.9,19.5,1.6,0.5,18.2,3031,312791.57
92242,39,1,48,578,5,0,0,1,0,672,2,0.30,45994,12.8,81.3,0.6,0.5,8.2,1256,183441.31
93927,287,20,780,13117,226,0,0,23,0,14453,43,0.30,66786,92.2,5,1,0.7,7.3,19665,482879.01
93926,358,19,541,6733,102,0,0,4,0,7757,23,0.30,74167,90.4,7.4,1.2,0,7,9086,554498.44
95947,166,2,82,1416,18,0,0,3,0,1687,5,0.30,46023,4,85.8,3.3,0.3,17.2,1464,264752
95454,300,3,97,2228,67,0,0,5,0,2700,8,0.30,36777,8.6,67.4,1.8,0.5,8.8,2076,336411.79
96028,156,3,84,1095,18,0,0,1,0,1357,4,0.30,NA,17.5,65.9,0,0.4,11.5,1641,267822.86
96044,92,3,53,849,21,0,0,0,0,1018,3,0.30,56510,11.9,69.3,2.6,0.1,12,1113,211893.24
93252,79,1,82,842,18,0,0,2,0,1024,3,0.29,46215,39.1,53.5,1.7,0,7.8,1646,154965.62
96035,234,5,186,2308,42,0,0,3,0,2778,8,0.29,37639,44.6,50.2,0,0,19.7,3320,227768.03
93270,244,5,274,4081,40,0,0,8,0,4652,13,0.28,42898,61.4,38,0,0,6.7,4806,298963.08
93256,122,3,295,3491,35,0,1,8,0,3955,11,0.28,43538,86.8,6.9,2.4,3.9,3.5,5823,227153.96
95255,162,3,92,1878,42,0,0,3,0,2180,6,0.28,60000,18.2,65.2,1.7,0,11.8,1748,299580.17
92365,60,2,86,1326,33,0,0,2,0,1509,4,0.27,55625,21,56.7,11,2.1,9.8,2485,219531.97
95916,85,0,43,636,12,0,0,2,0,778,2,0.26,37768,6.6,84.2,5.1,0,13.6,1112,220640.12
93201,35,0,61,680,6,0,0,2,0,784,2,0.26,36442,88.8,8.7,0.6,0.2,1.6,1283,150276.46
95313,72,2,107,982,21,0,0,1,0,1185,3,0.25,53667,70.5,27.4,0,0,8.5,1250,686783.38
96103,139,3,73,1724,34,0,0,2,0,1975,5,0.25,71612,3.1,95.9,0.1,0,30.2,1506,402192.96
96122,288,6,215,3404,40,0,0,4,0,3957,10,0.25,50155,16.1,79.5,0.2,0,14,4030,267689.92
95917,260,1,221,2287,48,0,0,6,0,2823,7,0.25,71678,32.4,60.2,1.3,0,12.2,4162,317499.76
92401,14,2,74,1119,35,0,1,1,0,1246,3,0.24,38667,47.5,10.3,6.2,30.7,7.9,2085,326174.85
93205,58,0,86,1490,29,0,0,4,0,1667,4,0.24,23061,10.7,79.5,0,0,12,2342,184796.32
93223,123,9,445,7233,103,0,1,10,0,7924,19,0.24,47355,89.8,8.2,0.3,0.7,4.7,10485,253196.89
96056,231,2,122,1301,18,0,1,2,0,1677,4,0.24,63500,4.8,77.9,8.6,0,32.7,1247,272339.77
92227,631,30,1525,21647,274,0,1,27,0,24135,57,0.24,51459,82.8,14.7,0.6,0.4,14.4,27530,277827.09
92274,296,13,858,13921,172,0,4,23,0,15287,36,0.24,26500,84.9,13.2,0.9,0.3,3.5,12843,237353.52
93647,122,3,478,7442,69,0,0,16,0,8130,19,0.23,49067,89.1,3.8,5.2,0,5.8,11575,256651.76
92231,423,59,2256,43295,550,0,8,50,1,46642,109,0.23,47476,97.7,1,0.9,0.3,18,38879,300098.17
93206,63,3,210,1436,12,0,0,1,0,1725,4,0.23,47188,80,17.5,0,0.2,6.9,1665,203681.53
93261,21,0,106,1590,15,0,0,4,0,1736,4,0.23,17841,97.9,1.9,0.2,0,0.6,1906,229220.18
96025,104,5,88,1937,54,0,1,0,0,2189,5,0.23,37546,16.6,72.2,1.9,1.2,18.1,2192,235160.51
92236,336,32,1638,27824,357,1,12,36,0,30236,69,0.23,40641,96.6,2.3,0.2,0.6,4.3,42218,389763.13
93219,79,2,447,5994,61,0,0,13,0,6596,15,0.23,42205,95.7,0.5,3.6,0.2,2.8,10047,235485.72
